archetype_id,variation_id,winrate,popularity
556,2243237522,58.5,0.3510
557,2246833595,50,0.0126
150,2202615742,51.3,0.0059
150,2249924859,55.3,0.1007
512,2253889863,62.3,0.0041
574,2211958466,62,0.0055
338,2245842696,58.5,0.2758
571,2212847210,54.2,0.0056
563,2242937772,57.5,1.4971
563,2243518485,59.7,0.7977
36,2247737805,55.6,0.0844
126,2072110963,56.3,0.2670
202,2199350303,56.7,0.0304
62,2251645248,52.7,0.2868
2,2251476582,40,0.0023
371,2173176792,68,0.0019
563,2253207272,60.7,0.0512
563,2253550496,57.4,0.0037
563,2253835044,70.2,0.0066
276,2233317747,56.9,0.0040
555,2207854323,51.2,0.0507
557,2211242343,56.7,0.0808
587,2248591172,58.7,0.0238
338,2252283773,67.1,0.0057
338,2252688611,58.9,0.0044
563,2245117900,51.7,0.0140
25,2203604661,45.4,0.1048
276,2225602793,45.5,0.0077
161,2248525410,55.6,0.0021
371,2113614181,48.4,0.0024
430,2253601372,59.4,0.0025
556,2237158788,60.4,0.0041
150,2251088732,50,0.0034
36,2251559264,55.1,0.0061
546,2113721714,75,0.0022
548,2233623788,52.6,0.0061
586,2251488588,48,0.0019
586,2251661660,59.6,0.0077
546,2254048230,55.6,0.0021
555,2253912749,72,0.0019
555,2254063029,74.3,0.0027
150,2250278772,59.8,0.0087
583,2248727976,59.3,0.0155
182,2203570837,61.2,0.0171
574,2213498829,60,0.0101
390,2245000014,52.1,0.0388
441,2247305550,51.8,0.0154
390,2254136447,48.9,0.0070
338,2254092972,67.4,0.0036
56,2131809027,56.7,0.0023
276,2233293648,54.5,0.0051
585,2245012448,58.2,0.0043
276,2253601598,30.8,0.0020
555,2246835055,46.2,0.0020
555,2247052683,54.4,0.0178
512,2243461294,46.7,0.0035
150,2253799159,58.3,0.0047
583,2253623657,46.8,0.0037
182,2199959337,57.6,0.0268
390,2249404759,48.1,0.0461
561,2253894012,74.1,0.0021
338,2243999438,51.9,0.0186
563,2251066733,49.4,0.0065
571,2252493559,53.8,0.0091
25,2242333015,61.4,0.0034
126,2227040835,71.4,0.0055
162,2244988156,81.5,0.0021
371,2233478154,54.1,0.0029
430,2253235615,56.4,0.1321
556,2236515277,68.3,0.0047
555,2251449141,68,0.0141
512,2252006230,43.8,0.0025
583,2252122595,32.8,0.0048
170,2253697912,49.2,0.0049
571,2246085663,48.8,0.0032
545,2254234386,63.6,0.0026
276,2254221243,55.7,0.0048
36,2240265168,34.4,0.0073
563,2245133496,58.1,0.0024
276,2236830503,65.3,0.0056
276,2254347995,78.4,0.0029
276,2254354118,53.5,0.0034
557,2215327962,63.5,0.0066
578,2220321833,84.8,0.0036
338,2243048567,53.7,0.0084
36,2253072705,45.5,0.0051
276,2238616112,57.8,0.0115
555,2218172179,60.4,0.0041
555,2254433594,53.7,0.0032
150,2254457743,57.9,0.0133
170,2248817951,51.1,0.0073
170,2252314251,64.9,0.0076
182,2204739886,50.6,0.0065
338,2252473184,40.4,0.0037
56,2245478461,64.8,0.0055
276,2233243432,52.6,0.0030
555,2203939336,50,0.0030
555,2250746941,55.8,0.0034
338,2251512229,70,0.0023
56,2252877717,54.2,0.0065
276,2253917416,63,0.0021
512,2224186523,42.2,0.0035
150,2254536064,50,0.0037
441,2254471109,56.5,0.0156
338,2253571464,65.7,0.0164
56,2213396734,63,0.0063
546,2243422575,64.9,0.0060
2,2235921055,44.1,0.0027
555,2250387423,62.5,0.0025
142,2233583705,47.7,0.0137
182,2247125598,69.4,0.0048
555,2252896117,45.5,0.0026
555,2254469614,68.3,0.0032
150,2252896066,58,0.0039
512,2254715585,42.1,0.0030
211,2229097034,75,0.0022
36,2254017515,59.3,0.0042
25,2210601794,51.9,0.0062
199,2249178413,44,0.0066
430,2251801022,57.3,0.0075
587,2246312411,62.3,0.0060
512,2254284830,37.2,0.0034
338,2243226180,50,0.0031
276,2244539917,62.1,0.0023
555,2251168842,50,0.0020
555,2254775934,44.4,0.0021
541,2253507276,38.9,0.0140
583,2254809288,48.9,0.0035
182,2235090732,54.4,0.0044
555,2251320981,49.3,0.0115
512,2254017528,44.8,0.0023
211,2212790128,64,0.0039
211,2254910986,69.6,0.0036
31,2253898021,40.3,0.0052
36,2254785799,63.2,0.0030
126,2074674137,65.6,0.0050
548,2157767291,59.8,0.0072
555,2253976810,52.1,0.0037
555,2254958770,46.2,0.0020
555,2250486278,54.6,0.0143
555,2250821283,69,0.0033
555,2252306369,48.1,0.0021
570,2212497695,56.6,0.1108
182,2201174147,60.2,0.2884
182,2241038024,58.1,0.1103
182,2251571236,53.4,0.0273
183,2198790084,57.7,0.8278
563,2253899721,47.1,0.0027
276,2238662392,45.7,0.0027
546,2244240521,57.8,0.0085
555,2243623263,44.8,0.0023
170,2250214051,47.1,0.0027
583,2252185205,52,0.0528
56,2245603336,53.3,0.0023
563,2249434301,60.9,0.0036
563,2252583109,59.8,0.0087
162,2022405203,54.8,0.1169
77,2022419733,57.8,0.0126
182,2206743582,57.7,0.0193
182,2239797094,50.9,0.0041
31,2246508704,50,0.0042
36,2209084769,60,0.0031
56,2222890187,54.7,0.0551
563,2233773255,63.9,0.0048
563,2242945028,56.3,0.0406
56,2244614591,55.6,0.0501
586,2243274657,51,0.1089
396,2072132537,64.3,0.0033
587,2246073485,60.5,0.0275
555,2252459958,58.7,0.0036
555,2253998641,56,0.0019
211,2250926321,48.9,0.0037
182,2247667612,54.3,0.0036
563,2253386585,58.1,0.1088
563,2253620544,53.8,0.0020
585,2244756488,55.6,0.0112
585,2252559436,35.8,0.0063
538,2199520679,53.2,0.0037
586,2243466282,50.2,0.0326
162,2252065150,42.4,0.0144
430,2240246152,41.9,0.0024
587,2246906960,51.9,0.0042
512,2243239436,33.3,0.0054
541,2253079008,47.5,0.0046
541,2254080404,56.2,0.0057
338,2252400780,56.8,0.0063
563,2218675935,63.8,0.0147
563,2234306842,56.9,0.0629
56,2253096146,47.5,0.0140
276,2234990536,55.3,0.0169
276,2253694938,48.1,0.0060
586,2248678788,49,0.0186
162,2246122313,40.6,0.0025
555,2246728023,57.2,0.0935
556,2251057978,71.9,0.0025
150,2250432147,60,0.0047
512,2253195146,60,0.0019
574,2219373434,46.2,0.0020
441,2251729144,54.6,0.0264
56,2243929547,58.7,0.0144
563,2253054477,60,0.0055
563,2254162711,46.9,0.0025
276,2235957496,51.7,0.0069
512,2243904719,41.2,0.0040
561,2198771695,43.9,0.0083
545,2239694649,48.9,0.0035
563,2251776839,55.6,0.0112
563,2253345973,57.7,0.0020
198,2249279153,48.1,0.0021
150,2250391751,51,0.0038
570,2212865113,69.5,0.0046
170,2253189938,50.8,0.0046
390,2252053226,45.9,0.0029
563,2242937252,57.7,0.0076
202,2242947697,47.5,0.0031
586,2243903429,46.5,0.0034
556,2245060988,53.8,0.0020
560,2254379523,63.3,0.0023
338,2253940012,65,0.0031
338,2254380833,59.1,0.0034
338,2254410270,51.6,0.0048
563,2253807624,59.9,0.1324
586,2245071075,51,0.0115
555,2254470818,48.4,0.0048
512,2218380810,44.4,0.0021
150,2251002369,49.4,0.0062
2,2254412875,50,0.0023
555,2198774464,47.5,0.0095
555,2243213550,46,0.0039
555,2254419973,56.7,0.0023
512,2253009131,53.3,0.0083
338,2246030918,64,0.0078
563,2252140625,54.7,0.0224
276,2218840464,75.4,0.0054
556,2235801234,50,0.0042
182,2226358610,54.7,0.0050
338,2238541087,65.4,0.0020
563,2252975313,58.8,0.0053
563,2254573355,66.7,0.0047
276,2233890381,54.4,0.0115
586,2247002530,56.3,0.0025
556,2198790705,55.9,0.0046
512,2199216250,50.6,0.0066
512,2254595900,48.7,0.0030
183,2234962617,54.5,0.0034
563,2201955026,57.1,0.0060
563,2254618891,64.3,0.0044
557,2208262101,67.7,0.0024
587,2250977576,65.9,0.0032
512,2250510398,53.7,0.0032
338,2202801088,60.3,0.0049
430,2251486832,68.8,0.0037
555,2253037843,59.2,0.0059
170,2243499023,50.8,0.0048
338,2221770176,67.6,0.0029
31,2254767278,54.3,0.0215
563,2254328718,62.7,0.0040
36,2254811020,54.5,0.0026
338,2233561097,65.6,0.0025
276,2253286243,51.7,0.0045
571,2254814880,65,0.0047
556,2254904355,81.5,0.0021
571,2232481336,58,0.0039
36,2254568839,49,0.0038
546,2253561126,61.3,0.0024
162,2245755031,53.3,0.0035
587,2254947864,53.6,0.0022
162,2023217581,56.4,0.0030
556,2215973597,63,0.0042
556,2254931183,56.1,0.0096
512,2248955995,61.5,0.0020
56,2244132148,48.6,0.0027
56,2248820063,52.2,0.0054
571,2254533635,62.3,0.0060
563,2254987303,47.4,0.0044
276,2247769559,56,0.0019
276,2254298769,80.8,0.0020
62,2252983677,42.9,0.0027
150,2253242803,38.7,0.0024
211,2254818362,63.6,0.0034
338,2252651966,47.6,0.0049
555,2244180211,28.6,0.0022
512,2253474795,70.2,0.0037
556,2252411406,55.6,0.0035
556,2255013877,56.3,0.0025
555,2255033962,72.1,0.0048
31,2221066253,67.9,0.0022
571,2254694385,42.7,0.0069
276,2250224644,45.8,0.0037
276,2254040677,50,0.0039
430,2253379909,36.1,0.0028
574,2233974947,54.5,0.0043
276,2237716441,56.4,0.0141
276,2247589375,47.9,0.0057
25,2255108335,64.5,0.0024
556,2254954383,67.4,0.0036
570,2213243093,57.8,0.0115
338,2254687424,52.9,0.0080
276,2253546203,50,0.0034
586,2255135185,61.5,0.0020
556,2254315647,42.9,0.0044
583,2252361396,50,0.0028
338,2200915237,52.5,0.0062
338,2205329979,59.3,0.0021
563,2254821425,84,0.0019
555,2248962299,46,0.0049
276,2179158716,59.2,0.0038
555,2255403546,54.8,0.0024
587,2251931229,56.8,0.0029
150,2252236572,69,0.0033
390,2248806073,53.8,0.0020
182,2249088021,57.6,0.0026
441,2255444544,52.3,0.0083
563,2254137895,69.4,0.0038
571,2255489611,59.3,0.0021
547,2246163906,53.2,0.0048
31,2244436413,47.6,0.0033
276,2237716570,55.3,0.0037
276,2254531683,63.4,0.0032
546,2245211206,50,0.0030
555,2252012887,74.1,0.0021
555,2252452757,43.8,0.0025
555,2253000693,40,0.0043
555,2254971331,76,0.0019
150,2250489109,67.9,0.0066
276,2251516097,62.1,0.0023
555,2215816022,56.8,0.0029
555,2252994584,57.1,0.0033
56,2245699355,58.7,0.0058
307,2254494862,50,0.0047
569,2202792579,49.3,0.0055
430,2255658557,60,0.0019
587,2245231151,61.5,0.0020
276,2255717195,30.2,0.0067
555,2255558587,84.4,0.0025
555,2255695888,50,0.0020
150,2255854062,33.3,0.0023
441,2255366055,57.1,0.0022
556,2255824926,80.4,0.0040
182,2255417729,72,0.0019
183,2252299198,77.4,0.0024
556,2255057308,64.5,0.0024
555,2250183831,69,0.0023
512,2255292018,60,0.0023
182,2252069486,64,0.0089
441,2255408205,46.2,0.0020
556,2256103471,65.7,0.0027
512,2198831511,54.9,0.0040
441,2256069018,65.4,0.0020
555,2256063848,60,0.0039
547,2256170940,59.5,0.0029
338,2242963308,55.3,0.0059
545,2253055089,35.7,0.0022
36,2253067067,56.3,0.0037
276,2201568495,59.1,0.0034
587,2246154978,63.4,0.0064
555,2249180927,74.2,0.0024
555,2256194890,50,0.0022
182,2234411253,29.6,0.0021
441,2246600454,50,0.0028
183,2203728374,66.7,0.0037
126,2231275955,64,0.0019
546,2243060576,57.7,0.0020
569,2212708718,50,0.0020
276,2250022057,54.8,0.0024
555,2253010735,51.8,0.0044
538,2213644239,52.8,0.0056
430,2158850391,50,0.0047
430,2254735951,63.2,0.0030
512,2255278959,55.4,0.0072
182,2241995899,66.7,0.0021
570,2255559171,55.6,0.0021
574,2255717271,80.8,0.0020
338,2250306492,56.8,0.0034
276,2237474640,55.4,0.0101
25,2256359136,51,0.0038
546,2207998331,50.7,0.0058
555,2255043170,63,0.0042
574,2246945522,55.6,0.0084
546,2251697573,71.4,0.0022
544,2244717681,46.4,0.0022
512,2253199210,72.4,0.0023
570,2256082950,52,0.0019
141,2239082151,64,0.0019
338,2250506788,55.6,0.0021
56,2256443745,57.1,0.0022
276,2244803051,57.1,0.0022
198,2245544886,59.6,0.0041
25,2256522310,71.8,0.0030
546,2243280164,55.6,0.0021
587,2246790522,67.7,0.0024
150,2253693200,58.6,0.0023
182,2251433209,58.7,0.0058
338,2256262467,50,0.0020
198,2256725710,64.3,0.0022
563,2246060856,58.6,0.0023
36,2252188831,70.7,0.0032
276,2256227621,38.2,0.0027
512,2256829982,70.7,0.0032
563,2255366126,63.9,0.0028
586,2256394016,59.3,0.0021
569,2225656496,57.1,0.0022
182,2255443723,67.7,0.0024
162,2248963751,59.6,0.0037
574,2213800731,56.9,0.0040
36,2254053283,38.5,0.0020
586,2245711549,54.5,0.0043
512,2254095373,48,0.0019
338,2254432248,58.7,0.0036
