,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Tamsin Roame,0.3869982,0.2624329,0.1976504,-0.0019609805,-0.44343516,0.27048928,1.4518358,-0.21237542,-1.4404931,-0.14055778,-0.32082355,-0.54299563,0.103397936,-1.6007425,0.06946451,0.78689194
Conjured Arrow,0.30996263,-0.8647513,-0.66857827,0.30332276,1.2343225,-0.05121947,0.04669723,-0.58569753,-0.73937964,-0.13297912,0.102778964,-0.9692003,0.9412941,-0.64383614,-0.5509292,0.7104683
Flipper Friends,0.36159107,-0.7227682,0.8631077,-0.27973163,0.2164767,0.18292025,0.51709926,0.50683844,-0.52556586,-0.14374779,0.060084216,-0.17784907,1.1957381,-0.17597383,0.17876126,-0.009682055
Brawl,-0.20148745,-0.4807637,0.1196013,-0.13591807,1.7982701,-0.05292735,1.143816,-0.23496719,-0.7707967,0.3042093,0.47991148,0.5453662,0.020516463,-0.06510626,0.41715118,-0.39400357
Kazakusan,-0.086934745,-0.6715966,0.28350148,-0.20830041,0.45176595,0.81250024,0.95782506,-0.0065237107,-0.5565171,-0.1103785,-0.14742768,0.78084755,0.5369938,0.35117435,-0.15619573,-0.31679943
Mecha-Shark,-0.24956398,0.06516212,-0.63675696,0.4926445,0.2938205,1.2126012,0.85507333,-0.03470413,-0.63205445,1.2370504,-0.31761897,-1.1892582,0.36159977,0.46231857,0.69609344,-0.32837275
Anachronos,-0.787632,-0.7672572,-0.03002721,-0.19669484,0.4462062,1.7360526,1.1693543,-0.3967779,-0.5327675,-0.16166703,-0.8967994,0.7888953,0.46939027,-0.07116576,-0.21375395,0.017525844
Onyxia the Broodmother,0.36419484,-0.40555617,0.46503508,0.42282763,-0.28439227,0.6486146,1.319562,0.46453437,0.3699832,0.3686725,-0.12873067,0.0644721,0.5100904,0.9190856,0.23535553,0.5879589
Bibliomite,0.8509175,-1.8680269,-0.6968553,-0.6432975,0.77403957,0.00064690877,0.70997936,-0.2186752,0.9624794,0.870224,-0.5788957,-0.34301952,0.38009328,-0.9466584,0.61818844,0.12965356
Rock Bottom,0.0009737265,1.1352861,0.6741937,-0.09832735,0.3347641,1.1789995,1.8128614,-0.83852535,-0.8455798,-0.38789096,0.13293463,-0.6508247,-0.51210904,-0.69275844,0.82263035,0.5149288
Plague Eruption,0.8731087,-0.028984262,0.180106,0.50775266,0.065628566,-0.47132233,1.7873453,0.13712354,-1.3210143,0.00116951,-0.05207721,-0.074498616,0.01775924,-1.1146349,0.7370242,0.7492072
Shadow Word: Devour,-0.19604719,-0.4639905,-0.042773698,0.11338452,0.20970744,0.26646277,1.2231205,1.0636262,-0.17667072,-0.6793729,-0.45261782,-0.96692425,-0.31223774,0.08640278,-0.38152352,0.80503565
Venomous Scorpid,-0.022348324,-0.007241744,0.23654275,0.43387666,0.44495538,0.16301675,0.8929122,0.20897757,0.16801664,0.09106699,-0.12589581,-0.3209822,0.41030976,-0.39853662,-0.47540924,-0.3055052
Battlefiend,0.7443725,-1.4370035,-0.58584446,-1.026205,0.32658255,0.79045624,1.1043028,-0.08779172,1.0455364,0.73148155,-0.48530945,-0.37497202,-0.34300527,-0.82842547,0.8016775,0.37760738
Shield Slam,-0.082136184,-0.6827018,0.09485271,-0.21731289,1.8159844,-0.19848181,1.1581676,0.022302406,-0.8281168,0.29409644,0.4268486,0.6425668,-0.10973599,-0.15888031,0.451538,-0.44810992
Flanking Maneuver,0.94645613,-0.85575575,-0.66417754,-0.32247594,0.36321175,0.0010261866,1.1464682,0.082293,0.64650273,0.41670728,-1.0003179,-0.094920784,-0.052201413,-1.342518,0.5221754,0.20062758
Druid of the Plains,0.20226792,-0.48668367,0.7102187,-0.07762901,0.44247597,0.32258978,0.5408884,0.05724799,-0.2258053,-0.14598784,-0.1521647,0.113944754,0.7108958,-0.23580883,0.08794548,-0.16602744
Battleground Battlemaster,0.44757012,-0.67310303,0.45887083,-0.21163042,0.61269,0.061044812,0.65975493,0.12827605,-0.68896353,-0.36244872,0.42093346,0.43732363,0.85841817,-0.13890316,0.0913798,0.1832296
Lor'themar Theron,0.32560918,-0.23348865,-0.029805643,0.12970406,0.70256525,0.05872207,0.63643944,0.10329144,-0.18497436,0.12233145,0.04248858,0.06219544,0.82092565,0.059554107,-0.08755496,0.11656073
Underking,0.54845744,-0.72098464,0.81825984,-0.25999004,0.37386537,0.21861634,0.548269,0.24882665,-0.43848532,-0.46172574,-0.079911746,-0.029379642,1.0897058,-0.21741359,0.060297288,-0.2245779
Crystal Broker,0.8553336,-0.35128272,0.49511662,0.34516743,0.72153634,0.0831782,0.51763624,0.53831536,0.39140052,0.17903145,-0.40465972,-0.26714635,0.31120843,-0.14748879,0.0045574424,-0.20905429
Lushwater Scout,0.25876647,0.56173354,1.0005066,0.07948683,0.8057689,0.9993214,1.6719618,-1.3050855,-0.38426954,0.007121799,-0.012635209,-1.00135,-0.73762673,0.07057593,0.5644236,0.99079746
Gan'arg Glaivesmith,0.8287973,-1.0417622,-0.89453155,-0.6354754,0.42346588,0.49354008,0.8374489,-0.27089828,0.617867,0.38729954,-0.7120554,-0.44836974,-0.3051493,-0.98059183,0.5261187,0.33873326
Obliterate,0.048158288,0.1490923,0.3297608,0.229162,0.6130022,0.112648204,1.0098629,-0.10385999,0.29098362,0.06612465,-0.0068312436,-0.116644405,0.5462633,-0.67061025,-0.64574903,-0.10052629
Gone Fishin',-0.7201959,-0.57210755,0.5977323,0.77481896,0.62697953,-0.13570687,0.6204999,-0.15083924,0.11477113,-0.4109456,-0.94906807,-0.12073918,0.32010105,-0.63056666,0.93309844,0.20003526
Muck Pools,1.294783,0.08610185,0.8865809,0.91602004,0.71140945,0.3094242,1.0355474,0.08839667,-0.044840325,0.1625386,-0.51699245,-0.32914472,-0.022994917,0.050919693,0.60298365,1.3971359
Whelp Bonker,0.111702085,-0.9889189,-0.10593372,-0.79288185,1.5499132,0.53405577,1.0183885,-0.757895,-0.6178551,1.0816388,0.58498466,-0.18046656,-0.28507483,0.0028263312,0.59972197,0.079597004
Dun Baldar Bunker,0.78659886,-0.88158643,-0.644546,0.8895707,1.19386,0.16348207,0.052518394,-0.71280056,-0.7800518,-0.21553423,-0.16024013,-1.2714801,1.0038419,-0.40561324,-0.6272559,0.6505132
Magnifying Glaive,0.8674192,-1.464759,-0.7969288,-0.63548,0.78494453,0.102155395,0.87788975,-0.2208086,1.0484586,0.8177878,-0.24973546,-0.41705152,0.2916482,-1.1788833,0.8506784,0.09752354
Heart Strike,0.076273814,0.14948268,0.2753226,0.3481715,0.486634,0.114183836,1.0697712,-0.06995012,0.20625347,0.043127548,0.004584278,-0.0818134,0.65122944,-0.5673362,-0.57370204,-0.23394038
Shattering Blast,0.010107029,-0.7004574,0.34556288,0.90706944,0.88671196,0.7094193,0.084875405,0.06921092,-0.3427717,0.8646398,-0.38663384,-0.9558967,0.15646128,-0.6212441,-0.006520777,-0.7287802
Deep Breath,0.058584005,-0.71902543,0.67349523,1.1539147,0.5319093,0.7899265,0.13263117,0.15019254,-0.38213962,0.6577162,-0.82035077,-1.1415522,0.158652,-0.5660762,-0.15180796,-0.7917436
Bloodsail Raider,-0.5256055,-0.17040351,-0.17843044,0.24543254,1.9008601,0.61869866,1.4768008,-0.54292357,-0.4419032,-0.39447373,1.0390755,0.1908123,0.63100916,0.23327865,1.159684,-0.12576915
Body Bagger,-0.08120491,-0.09612814,0.34952554,0.28584948,0.43511644,0.1485169,1.0947658,-0.18233801,0.40906706,0.26747096,0.3965216,-0.15390246,0.53552836,-0.5359913,-0.50962955,0.10539953
Living Seed (Rank 1),0.4157118,-0.80685437,0.8449859,-0.7310574,0.21114966,0.541913,0.40498835,0.34166402,-0.41151205,-0.7135817,0.071163744,-0.18979768,1.1419545,-0.5770891,0.29221252,-0.037858464
Murloc Tinyfin,0.1153247,0.4385098,1.1171734,-0.20232776,0.48253772,1.1388977,1.0044882,-1.0548843,-0.46222106,-0.44586444,0.3807817,-0.6116363,0.09068188,-0.117047675,0.980817,0.83340335
Crushclaw Enforcer,0.1881671,-0.4311143,-0.25389716,0.35953483,0.23970604,-0.14979531,0.5202676,-0.28399682,0.5158429,-0.013671073,-0.9505197,-0.44034845,0.75260514,-0.4996956,0.01150216,-0.23294389
Preparation,-0.8051297,-0.7736558,0.6994976,0.6502454,0.7102698,-0.37411958,0.5918462,-0.31122506,0.022223212,-0.39109355,-0.8532929,-0.2912362,0.26267275,-0.6986535,0.6755704,0.13299108
Timewarden,-0.9041473,-0.6826375,0.07354911,-0.12434038,0.41474506,1.5549576,1.2452397,-0.26388723,-0.48827213,0.0030925476,-0.7406073,0.6548446,0.46133566,0.340387,-0.3028816,-0.23770468
