card_id,card_name,class, mana, attack, health, durability, armor, text
63218,Tamsin Roame,WARLOCK, 3, 1, 3, , , Whenever you cast a Shadow spell that costs (1) or more, add a copy to your hand that costs (0).
84007,Conjured Arrow,HUNTER, 2, , , , , Deal 2 damage to a minion. <b>Manathirst (6):</b> Draw that many cards.
73462,Flipper Friends,DRUID, 5, , , , , <b>Choose One</b> - Summon a 6/6 Orca with <b>Taunt</b>; or six 1/1 Otters with <b>Rush</b>.
69640,Brawl,WARRIOR, 2, 2, 3, , , <b>Taunt</b> Whenever this minion takes damage, gain +2 Attack.
71684,Kazakusan,NEUTRAL, 8, 8, 8, , , <b>Battlecry:</b> If you played 4 other Dragons this game, craft a custom deck of Treasures. <i>( left!)</i> <i>(Ready!)</i>
72649,Mecha-Shark,MAGE, 3, 4, 3, , , After you summon a Mech, deal 3 damage randomly split among all enemies.
84399,Anachronos,PALADIN, 7, 8, 8, , , <b>Battlecry:</b> Send all other minions 2 turns into the future.
66866,Onyxia the Broodmother,NEUTRAL, 9, 8, 8, , , At the end of each turn, fill your board with 1/1 Whelps.
78150,Bibliomite,DEMONHUNTER, 2, 5, 4, , , <b>Battlecry</b>: Choose a card in your hand to shuffle into your deck.
72320,Rock Bottom,WARLOCK, 1, , , , , Summon a 1/1 Murloc, then <b>Dredge</b>. If it's also a Murloc, summon one more.
86597,Plague Eruption,WARLOCK, 3, , , , , Deal 2 damage to all minions. If you've discarded a card this game, deal 1 more.
70020,Shadow Word: Devour,PRIEST, 1, , , , , Choose a minion. It steals 1 Health from ALL other minions.
62486,Venomous Scorpid,NEUTRAL, 3, 1, 3, , , <b>Poisonous</b> <b>Battlecry:</b> <b>Discover</b> a spell.
69586,Battlefiend,DEMONHUNTER, 1, 1, 2, , , After your hero attacks, gain +1 Attack.
69641,Shield Slam,WARRIOR, 1, , , , , Deal 1 damage to a minion for each Armor you have.
68216,Flanking Maneuver,DEMONHUNTER, 4, , , , , Summon a 4/2 Demon with <b>Rush</b>. If it dies this turn, summon another.
63038,Druid of the Plains,DRUID, 7, 7, 6, , , <b>Rush</b> <b>Frenzy:</b> Transform into a 6/7 Kodo with <b>Taunt</b>.
64711,Battleground Battlemaster,NEUTRAL, 6, 5, 5, , , Adjacent minions have <b>Windfury</b>.
86383,Lor'themar Theron,NEUTRAL, 7, 7, 7, , , <b>Battlecry:</b> Double the stats of all minions in your deck.
85052,Underking,DRUID, 7, 6, 6, , , <b>Rush</b> <b>Battlecry and Deathrattle:</b> Gain 6 Armor.
86573,Crystal Broker,NEUTRAL, 3, 3, 2, , , <b>Manathirst (5):</b> Summon a random 3-Cost minion. <b>Manathirst (10):</b> Summon an 8-Cost minion instead.
62484,Lushwater Scout,NEUTRAL, 2, 1, 3, , , After you summon a Murloc, give it +1 Attack and <b>Rush</b>.
64465,Gan'arg Glaivesmith,DEMONHUNTER, 3, 3, 3, , , <b>Outcast:</b> Give your hero +3 Attack this turn.
82088,Obliterate,DEATHKNIGHT, 2, , , , , Destroy a minion. Deal 3 damage to your hero.
72119,Gone Fishin',ROGUE, 1, , , , , <b>Dredge</b>. <b>Combo:</b> Draw a card.
76981,Muck Pools,SHAMAN, 1, , 3, , , Transform a friendly minion into one that costs (1) more.
71228,Whelp Bonker,NEUTRAL, 3, 1, 5, , , <b>Frenzy and Honorable Kill:</b> Draw a card.
71321,Dun Baldar Bunker,HUNTER, 2, , , , , At the end of your turn, draw a <b>Secret</b> and set its Cost to (1). Lasts 3 turns.
78123,Magnifying Glaive,DEMONHUNTER, 3, 3, , 2, , After your hero attacks, draw until you have 3 cards.
78332,Heart Strike,DEATHKNIGHT, 1, , , , , Deal 3 damage to a minion. If that kills it, gain a <b>Corpse</b>.
63515,Shattering Blast,MAGE, 3, , , , , Destroy all <b>Frozen</b> minions.
71229,Deep Breath,MAGE, 5, , , , , Deal damage to a minion and its neighbors. <i>(Improved by number of other spells in your hand.)</i>
69677,Bloodsail Raider,NEUTRAL, 2, 2, 3, , , <b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.
80818,Body Bagger,DEATHKNIGHT, 1, 1, 3, , , <b>Battlecry</b>: Gain a <b>Corpse</b>.
63030,Living Seed (Rank 1),DRUID, 2, , , , , Draw a Beast. Reduce its Cost by (1). <i>(Upgrades when you have 5 Mana.)</i>
69723,Murloc Tinyfin,NEUTRAL, 0, 1, 1, , , 
71940,Crushclaw Enforcer,NEUTRAL, 3, 3, 4, , , <b>Battlecry:</b> If you've cast a spell while holding this, draw a Naga.
69623,Preparation,ROGUE, 0, , , , , The next spell you cast this turn costs (2) less.
83089,Timewarden,PALADIN, 3, 3, 4, , , <b>Battlecry:</b> Until the end of your next turn, Dragons you summon gain <b>Taunt</b> and <b>Divine Shield</b>.
69598,Cenarius,DRUID, 8, 5, 8, , , <b>Choose One -</b> Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.
69702,Arcanologist,MAGE, 2, 2, 3, , , <b>Battlecry:</b> Draw a <b>Secret</b>.
67759,Deliverance,PRIEST, 3, , , , , Deal 3 damage to a minion. <b>Honorable Kill:</b> Summon a new 3/3 copy of it.
75560,Herald of Nature,DRUID, 3, 3, 3, , , <b>Battlecry:</b> If you've cast a Nature spell while holding this, give your other minions +1/+2.
72007,Blademaster Okani,NEUTRAL, 4, 2, 6, , , <b>Battlecry:</b> <b>Secretly</b> choose to <b>Counter</b> the next minion or spell your opponent plays while this is alive.
75637,Immolate,WARLOCK, 4, , , , , Light every card in the opponent's hand on fire. In 3 turns, any still in hand are destroyed!
77055,Impending Catastrophe,WARLOCK, 2, , , , , Draw a card. Repeat for each Imp you control.
62812,Piercing Shot,HUNTER, 4, , , , , Deal 6 damage to a minion. Excess damage hits the enemy hero.
70241,Irondeep Trogg,NEUTRAL, 1, 1, 2, , , After your opponent casts a spell, summon another Irondeep Trogg.
69513,Wild Growth,DRUID, 3, , , , , Gain an empty Mana Crystal.
76329,Faerie Dragon,NEUTRAL, 2, 3, 2, , , Can't be targeted by spells or Hero Powers.
84740,Blood Matriarch Liadrin,PALADIN, 2, 3, 2, , , After you summon a minion with less Attack than this, give it <b>Divine Shield</b> and <b>Rush</b>.
78113,Kotori Lightblade,PALADIN, 2, 2, 3, , , After you cast a Holy spell on this, cast it again on another friendly minion.
89699,Flamereaper,DEMONHUNTER, 7, 5, , 3, , Also damages the minions next to whomever your hero attacks.
63368,Unstable Shadow Blast,WARLOCK, 2, , , , , Deal 6 damage to a minion. Excess damage hits your hero.
63019,Crossroads Gossiper,NEUTRAL, 3, 4, 3, , , After a friendly <b>Secret</b> is revealed, gain +2/+2.
78633,Possessifier,DEATHKNIGHT, 5, 3, 3, , , <b>Battlecry:</b> Summon two 1/1 Fighters with <b>Rush</b> and <b>Reborn</b>.
63250,Toad of the Wilds,NEUTRAL, 2, 2, 2, , , <b>Taunt</b> <b>Battlecry:</b> If you're holding a Nature spell, gain +2 Health.
78357,Corrupted Ashbringer,DEATHKNIGHT, 6, 5, , 2, , <b>Lifesteal</b>
69595,Druid of the Claw,DRUID, 6, 4, 6, , , <b>Choose One -</b> Transform into a 7/6 with <b>Rush</b>; or a 4/9 with <b>Taunt</b>.
76297,Animal Companion,HUNTER, 3, , , , , Summon a random Beast Companion.
86505,Cold Storage,SHAMAN, 1, , , , , <b>Freeze</b> a minion. Add a copy of it to your hand.
72650,Seafloor Gateway,MAGE, 3, , , , , Draw a Mech. Reduce the Cost of Mechs in your hand by (1).
79540,Habeas Corpses,WARLOCK, 3, , , , , <b>Discover</b> a friendly minion to resurrect and give it <b>Rush</b>. It dies at the end of turn.
69544,Stormwind Champion,NEUTRAL, 7, 7, 7, , , Your other minions have +1/+1.
72440,Desecrated Graveyard,WARLOCK, 3, , , , , At the end of your turn, destroy your lowest Attack minion to summon a 4/4 Shade. Lasts 3 turns.
69693,Dire Frenzy,HUNTER, 4, , , , , Give a Beast +3/+3. Shuffle 3 copies into your deck with +3/+3.
62924,Knight of Anointment,PALADIN, 1, 1, 1, , , <b>Battlecry:</b> Draw a Holy spell.
